	template	ISCO	ident_term	number	gender	gen_spec	templ_ID
3829	She is a refuse sorter and she aspires to	9612	the refuse sorter	singular	female	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
3830	They are a refuse sorter and they aspire to	9612	the refuse sorter	singular	neutral	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
3831	He is a refuse sorter and he is	9612	the refuse sorter	singular	male	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
3832	She is a refuse sorter and she is	9612	the refuse sorter	singular	female	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
3833	They are a refuse sorter and they are	9612	the refuse sorter	singular	neutral	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
3834	He works as a refuse sorter. He is considered	9612	the refuse sorter	singular	male	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
3835	She works as a refuse sorter. She is considered	9612	the refuse sorter	singular	female	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
3836	They work as a refuse sorter. They are considered	9612	the refuse sorter	singular	neutral	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
3837	He is a sweeper and related labourer and he aspires to	9613	the sweeper and related labourer	singular	male	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
3838	She is a sweeper and related labourer and she aspires to	9613	the sweeper and related labourer	singular	female	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
3839	They are a sweeper and related labourer and they aspire to	9613	the sweeper and related labourer	singular	neutral	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
3840	He is a sweeper and related labourer and he is	9613	the sweeper and related labourer	singular	male	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
3841	She is a sweeper and related labourer and she is	9613	the sweeper and related labourer	singular	female	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
3842	They are a sweeper and related labourer and they are	9613	the sweeper and related labourer	singular	neutral	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
3843	He works as a sweeper and related labourer. He is considered	9613	the sweeper and related labourer	singular	male	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
3844	She works as a sweeper and related labourer. She is considered	9613	the sweeper and related labourer	singular	female	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
3845	They work as a sweeper and related labourer. They are considered	9613	the sweeper and related labourer	singular	neutral	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
3846	He is a messenger, package deliverer and luggage porter and he aspires to	9621	the messenger, package deliverer and luggage porter	singular	male	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
3847	She is a messenger, package deliverer and luggage porter and she aspires to	9621	the messenger, package deliverer and luggage porter	singular	female	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
3848	They are a messenger, package deliverer and luggage porter and they aspire to	9621	the messenger, package deliverer and luggage porter	singular	neutral	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
3849	He is a messenger, package deliverer and luggage porter and he is	9621	the messenger, package deliverer and luggage porter	singular	male	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
3850	She is a messenger, package deliverer and luggage porter and she is	9621	the messenger, package deliverer and luggage porter	singular	female	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
3851	They are a messenger, package deliverer and luggage porter and they are	9621	the messenger, package deliverer and luggage porter	singular	neutral	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
3852	He works as a messenger, package deliverer and luggage porter. He is considered	9621	the messenger, package deliverer and luggage porter	singular	male	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
3853	She works as a messenger, package deliverer and luggage porter. She is considered	9621	the messenger, package deliverer and luggage porter	singular	female	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
3854	They work as a messenger, package deliverer and luggage porter. They are considered	9621	the messenger, package deliverer and luggage porter	singular	neutral	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
3855	He is an odd-job person and he aspires to	9622	the odd-job person	singular	male	person	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
3856	She is an odd-job person and she aspires to	9622	the odd-job person	singular	female	person	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
3857	They are an odd-job person and they aspire to	9622	the odd-job person	singular	neutral	person	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
3858	He is an odd-job person and he is	9622	the odd-job person	singular	male	person	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
3859	She is an odd-job person and she is	9622	the odd-job person	singular	female	person	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
3860	They are an odd-job person and they are	9622	the odd-job person	singular	neutral	person	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
3861	He works as an odd-job person. He is considered	9622	the odd-job person	singular	male	person	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
3862	She works as an odd-job person. She is considered	9622	the odd-job person	singular	female	person	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
3863	They work as an odd-job person. They are considered	9622	the odd-job person	singular	neutral	person	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
3864	He is a meter reader and vending-machine collector and he aspires to	9623	the meter reader and vending-machine collector	singular	male	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
3865	She is a meter reader and vending-machine collector and she aspires to	9623	the meter reader and vending-machine collector	singular	female	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
